acc,std,loss,tp,fp,tn,fn,hp
12.023246735334396,0.0,0.10981195345520973,0.0,0.0,4685.1,669.3,"[8, 5, 5, 0.3, 75, 0.01, 'mean_squared_error', 0.0]"
69.63449120521545,0.0,0.08252435177564621,0.0,0.0,14938.0,2134.0,"[16, 3, 3, 0.5, 25, 0.01, 'mean_squared_error', 0.0]"
69.69769597053528,0.0,0.08538651838898659,0.0,0.0,14934.5,2133.5,"[8, 5, 3, 0.3, 75, 0.01, 'mean_squared_error', 0.0]"
69.85941131909688,0.0,0.08648057033618291,0.0,0.0,14933.333333333334,2133.3333333333335,"[32, 3, 5, 0.5, 50, 0.01, 'mean_squared_error', 0.9]"
54.82071880251169,0.0,0.09183327481150627,0.0,0.0,14932.75,2133.25,"[8, 5, 3, 0.7, 75, 0.001, 'mean_squared_error', 0.9]"
57.724366933107376,0.0,0.09036833941936492,0.0,0.0,14932.4,2133.2,"[16, 5, 5, 0.5, 75, 0.01, 'mean_squared_error', 0.0]"
58.47244722147783,0.0,0.09140738099813461,0.0,0.0,14932.166666666666,2133.1666666666665,"[8, 3, 3, 0.7, 25, 0.01, 'mean_squared_error', 0.6]"
57.57353018437113,0.0,0.09311096157346453,0.0,0.0,14932.0,2133.1428571428573,"[32, 3, 5, 0.7, 75, 0.001, 'categorical_crossentropy', 0.9]"
59.10867201164365,0.0,0.09322090912610292,0.0,0.0,14931.875,2133.125,"[8, 3, 3, 0.7, 25, 0.1, 'categorical_crossentropy', 0.9]"
53.186976040403046,0.0,0.09502417180273268,0.0,0.0,14931.777777777777,2133.1111111111113,"[16, 5, 3, 0.5, 75, 0.1, 'mean_squared_error', 0.6]"
54.79748588055372,0.0,0.09416055306792259,0.0,0.0,14931.7,2133.1,"[16, 7, 5, 0.7, 50, 0.1, 'categorical_crossentropy', 0.9]"
72.44610786437988,0.0,0.0629735216498375,1049.0,191.0,14747.0,1085.0,"[16, 7, 5, 0.5, 50, 0.01, 'mean_squared_error', 0.6]"
71.43168151378632,0.0,0.07361629977822304,524.5,95.5,14839.0,1609.0,"[8, 5, 3, 0.7, 25, 0.1, 'mean_squared_error', 0.3]"
52.1843339006106,0.0,0.08488395561774571,349.6666666666667,63.666666666666664,14869.666666666666,1783.6666666666667,"[16, 5, 5, 0.3, 75, 0.001, 'mean_squared_error', 0.6]"
56.53159357607365,0.0,0.08385484106838703,262.25,47.75,14885.0,1871.0,"[8, 7, 3, 0.5, 50, 0.01, 'categorical_crossentropy', 0.3]"
58.736760914325714,0.0,0.08742652386426926,209.8,38.2,14894.2,1923.4,"[32, 7, 3, 0.5, 50, 0.01, 'mean_squared_error', 0.3]"
60.92573528488477,0.0,0.0832348180313905,382.6666666666667,66.66666666666667,14865.5,1750.5,"[16, 5, 5, 0.7, 50, 0.001, 'mean_squared_error', 0.0]"
